City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.99,61,80,7.0,broken clouds
1,Mayuge,UG,0.4597,33.4803,64.85,88,6,5.39,clear sky
2,Mahebourg,MU,-20.4081,57.7,77.0,88,40,4.61,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,61.43,63,2,19.51,clear sky
4,Kodiak,US,57.79,-152.4072,48.2,61,20,6.91,few clouds
5,Leningradskiy,RU,69.3833,178.4167,34.2,83,95,4.05,overcast clouds
6,Zhanakorgan,KZ,43.9098,67.2495,62.42,35,26,4.56,scattered clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.2,71,0,19.57,clear sky
8,Umm Kaddadah,SD,13.6017,26.6876,72.55,9,17,14.5,few clouds
9,Bredasdorp,ZA,-34.5322,20.0403,46.4,93,3,3.22,clear sky
10,East London,ZA,-33.0153,27.9116,59.11,66,2,11.52,clear sky
11,Tshela,CD,-4.9833,12.9333,72.3,98,100,3.87,light rain
12,Jamestown,US,42.097,-79.2353,37.99,93,90,12.66,mist
13,Seymour,US,38.9592,-85.8903,53.01,61,99,3.44,overcast clouds
14,Hilo,US,19.7297,-155.09,77.0,61,90,5.75,overcast clouds
15,Codrington,AU,-38.2667,141.9667,62.01,57,100,9.89,overcast clouds
16,Faanui,PF,-16.4833,-151.75,82.31,71,46,5.5,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,77.65,69,100,8.9,overcast clouds
18,Plettenberg Bay,ZA,-34.0527,23.3716,59.22,47,1,6.49,clear sky
19,Yellowknife,CA,62.456,-114.3525,42.8,56,40,8.05,scattered clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,72.0,60,40,3.44,scattered clouds
21,Baft,IR,29.234,56.6057,53.15,36,0,3.22,clear sky
22,Vienna,AT,48.2085,16.3721,43.0,75,40,8.05,scattered clouds
23,Dobryanka,RU,58.4619,56.4165,23.0,80,0,4.47,clear sky
24,Souillac,MU,-20.5167,57.5167,77.0,88,40,4.61,scattered clouds
25,Phalaborwa,ZA,-23.943,31.1411,59.0,72,8,8.05,clear sky
26,Kralendijk,BQ,12.15,-68.2667,80.6,83,75,16.11,broken clouds
27,Barrow,US,71.2906,-156.7887,26.6,74,90,11.5,overcast clouds
28,Raudeberg,NO,61.9875,5.1352,42.01,55,0,5.75,clear sky
29,Hermanus,ZA,-34.4187,19.2345,57.99,79,0,3.0,clear sky
30,Buraydah,SA,26.326,43.975,71.6,60,40,14.97,scattered clouds
31,Ushuaia,AR,-54.8,-68.3,42.8,75,90,4.61,overcast clouds
32,Rio Branco,BR,-9.9747,-67.81,78.8,94,20,5.75,few clouds
33,Hami,CN,42.8,93.45,61.63,10,0,11.27,clear sky
34,Fortuna,US,40.5982,-124.1573,53.01,93,1,10.36,clear sky
35,Poronaysk,RU,49.2167,143.1167,34.83,94,100,9.95,moderate rain
36,Khatanga,RU,71.9667,102.5,10.92,91,100,9.82,light snow
37,Alibag,IN,18.6411,72.8792,82.4,78,0,8.21,haze
38,Atuona,PF,-9.8,-139.0333,80.8,75,100,17.16,overcast clouds
39,Necochea,AR,-38.5473,-58.7368,55.99,98,1,4.0,clear sky
40,Talnakh,RU,69.4865,88.3972,-9.51,95,100,3.65,overcast clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,75.27,75,10,18.48,clear sky
42,Amuntai,ID,-2.4177,115.2494,86.4,63,97,1.86,overcast clouds
43,Basoko,CD,1.2391,23.616,72.14,92,100,4.38,light rain
44,Lebu,CL,-37.6167,-73.65,53.17,87,72,9.62,broken clouds
45,Hobart,AU,-42.8794,147.3294,63.0,51,75,17.27,broken clouds
46,Antofagasta,CL,-23.65,-70.4,60.8,82,0,5.75,clear sky
47,Puro,PH,12.4841,123.3827,83.08,71,94,8.52,overcast clouds
48,Norman Wells,CA,65.282,-126.8329,46.4,53,75,8.05,broken clouds
49,Dikson,RU,73.5069,80.5464,-4.86,97,100,5.23,overcast clouds
50,Qaanaaq,GL,77.484,-69.3632,-1.43,89,100,7.34,overcast clouds
51,Srednekolymsk,RU,67.45,153.6833,24.35,71,7,10.98,clear sky
52,Cidreira,BR,-30.1811,-50.2056,70.32,79,100,5.28,overcast clouds
53,Cherskiy,RU,68.75,161.3,21.65,81,96,12.44,overcast clouds
54,Bethel,US,41.3712,-73.414,42.01,82,94,9.22,overcast clouds
55,Ponta Do Sol,PT,32.6667,-17.1,57.99,70,8,4.0,clear sky
56,Mount Pleasant,US,32.7941,-79.8626,60.01,88,1,0.63,clear sky
57,Tabou,CI,4.423,-7.3528,79.03,83,57,5.84,light rain
58,Ilulissat,GL,69.2167,-51.1,5.0,78,90,11.5,overcast clouds
59,Mirpur Khas,PK,25.5251,69.0159,81.23,55,2,4.79,clear sky
60,Georgetown,MY,5.4112,100.3354,81.0,89,20,2.3,few clouds
61,Carnarvon,AU,-24.8667,113.6333,81.1,38,0,9.22,clear sky
62,Cape Town,ZA,-33.9258,18.4232,66.99,87,0,2.3,clear sky
63,Kaitangata,NZ,-46.2817,169.8464,59.0,42,71,5.01,broken clouds
64,Katsuura,JP,35.1333,140.3,64.99,61,100,1.01,moderate rain
65,Victoria,HK,22.2855,114.1577,75.0,90,100,1.01,overcast clouds
66,Westport,US,41.1415,-73.3579,45.0,2,100,11.95,overcast clouds
67,Bonfim,BR,3.0833,-59.95,77.9,78,98,2.33,overcast clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,64.0,100,19,3.44,fog
69,Campo Grande,BR,-20.4428,-54.6464,66.2,94,40,5.75,scattered clouds
70,Ribeira Grande,PT,38.5167,-28.7,62.92,97,86,17.36,overcast clouds
