City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kodiak,US,48.2,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
7,Punta Arenas,CL,48.2,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
9,Bredasdorp,ZA,46.4,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
12,Jamestown,US,37.99,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Yellowknife,CA,42.8,scattered clouds,62.456,-114.3525,The Explorer Hotel
22,Vienna,AT,43.0,scattered clouds,48.2085,16.3721,Hotel Royal
23,Dobryanka,RU,23.0,clear sky,58.4619,56.4165,Apartment on Zhukovskogo 19
27,Barrow,US,26.6,overcast clouds,71.2906,-156.7887,King Eider Inn
28,Raudeberg,NO,42.01,clear sky,61.9875,5.1352,Nordre Silda.
31,Ushuaia,AR,42.8,overcast clouds,-54.8,-68.3,Albatros Hotel
35,Poronaysk,RU,34.83,moderate rain,49.2167,143.1167,Avtovokzal Khostel Stolovaya
36,Khatanga,RU,10.92,light snow,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
48,Norman Wells,CA,46.4,broken clouds,65.282,-126.8329,Heritage Hotel
53,Cherskiy,RU,21.65,overcast clouds,68.75,161.3,Gostinitsa
54,Bethel,US,42.01,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
58,Ilulissat,GL,5.0,overcast clouds,69.2167,-51.1,Hotel Arctic
66,Westport,US,45.0,overcast clouds,41.1415,-73.3579,The Westport Inn
86,Oneonta,US,37.99,overcast clouds,42.4529,-75.0638,Hampton Inn Oneonta
88,Severo-Kurilsk,RU,35.78,broken clouds,50.6789,156.125,Kak Doma
90,Tasiilaq,GL,26.6,light snow,65.6145,-37.6368,The Red House
92,Clyde River,CA,10.4,broken clouds,70.4692,-68.5914,Qamaq Hotel
100,Klaksvik,FO,46.4,mist,62.2266,-6.5889999999999995,Airbnb rooms
107,Stillwater,US,46.99,overcast clouds,36.1156,-97.0584,Hampton Inn & Suites Stillwater
112,Pevek,RU,21.29,overcast clouds,69.7008,170.3133,Severnoye Zoloto
113,Broome,US,39.99,overcast clouds,42.2506,-75.833,Chenango Valley State Park
120,Torbay,CA,33.01,light snow,47.6666,-52.7314,Gallows Cove
131,Hofn,IS,42.89,few clouds,64.2539,-15.2082,Hótel Höfn
142,Belyy Yar,RU,35.6,snow,53.6039,91.3903,Pasportnyy Stol
145,Mokhotlong,LS,40.21,broken clouds,-29.2894,29.0675,Shoeshoe Bed & Breakfast
147,Sitka,US,48.2,broken clouds,57.0531,-135.33,Westmark Sitka
152,Zanjan,IR,49.39,broken clouds,36.6736,48.4787,Qasr Hotel
153,Lasa,IT,33.01,clear sky,46.6166,10.7002,Pension Feldgärtenhof
162,Pskov,RU,44.6,clear sky,57.8136,28.3496,Zolotaya Naberezhnaya
163,Ust-Uda,RU,43.77,clear sky,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
165,Thompson,CA,44.6,scattered clouds,55.7435,-97.8558,Burntwood Hotel
